case	verdict	note
aff-at-eof	pass	
aff-attr-empty	cannot-represent	affiliated keywords (no attachment in AST)
aff-attr-no-backend	pass	
aff-attr-odd-backend	cannot-represent	affiliated keywords (no attachment in AST)
aff-attr-para	cannot-represent	affiliated keywords (no attachment in AST)
aff-before-comment	pass	
aff-before-fixed	cannot-represent	affiliated keywords (no attachment in AST)
aff-before-headline	pass	
aff-before-keyword	cannot-represent	affiliated keywords (no attachment in AST)
aff-blank-breaks	pass	
aff-caption-inside-item	wrong-tree	$.children[0].children[0].children[0].children[0].children missing
aff-caption-name	cannot-represent	affiliated keywords (no attachment in AST)
aff-caption-para	cannot-represent	affiliated keywords (no attachment in AST)
aff-caption-short	cannot-represent	affiliated keywords (no attachment in AST)
aff-caption-table	cannot-represent	affiliated keywords (no attachment in AST)
aff-dual-two	cannot-represent	affiliated keywords (no attachment in AST)
aff-empty-value	cannot-represent	affiliated keywords (no attachment in AST)
aff-header-para	cannot-represent	affiliated keywords (no attachment in AST)
aff-lowercase	cannot-represent	affiliated keywords (no attachment in AST)
aff-name-para	cannot-represent	affiliated keywords (no attachment in AST)
aff-name-table	cannot-represent	affiliated keywords (no attachment in AST)
aff-plot-para	cannot-represent	affiliated keywords (no attachment in AST)
aff-results-hash	cannot-represent	affiliated keywords (no attachment in AST)
aff-results-para	cannot-represent	affiliated keywords (no attachment in AST)
aff-two-attr	cannot-represent	affiliated keywords (no attachment in AST)
aff-two-captions	cannot-represent	affiliated keywords (no attachment in AST)
aff-two-headers	cannot-represent	affiliated keywords (no attachment in AST)
besc-comment-comma-lines	pass	
besc-example-comma-lines	wrong-tree	$.children[0].children[0].value: "* escaped headline\n#+escaped keyword\n,* double comma\n * indented escape\n... vs ",* escaped headline\n,#+escaped keyword\n,,* double comma\n ,* indented esca...
besc-example-in-item	wrong-tree	$.children[0].children[0].children[0].children[1].value: "  * indented block escape\n" vs "  ,* indented block escape\n"
besc-export-comma-lines	wrong-tree	$.children[0].children[0].value: "* escaped\n#+kw\n" vs ",* escaped\n,#+kw\n"
besc-latex-env-comma-lines	cannot-represent	node type latex-environment
besc-src-comma-lines	wrong-tree	$.children[0].children[0].value: "* escaped\n,#+double\nplain\n" vs ",* escaped\n,,#+double\nplain\n"
besc-verse-comma-lines	pass	
captdual-bold	cannot-represent	affiliated keywords (no attachment in AST); node type line-break
caption-bare	cannot-represent	affiliated keywords (no attachment in AST); node type line-break
caption-bold	cannot-represent	affiliated keywords (no attachment in AST); node type line-break
cc-cite-minus	cannot-represent	node type citation; node type citation-reference
cc-cite-uni	cannot-represent	node type citation; node type citation-reference
cc-drawer-dollar	wrong-tree	$.children[0].children[0].children[0].children missing
cc-drawer-euro	pass	
cc-drawer-ord	pass	
