case	verdict	note
aff-at-eof	pass	
aff-attr-empty	pass	
aff-attr-no-backend	pass	
aff-attr-odd-backend	cannot-represent	affiliated key ATTR_X9-Y
aff-attr-para	pass	
aff-before-comment	wrong-tree	$.children[0].children[0].affiliated unexpected
aff-before-fixed	pass	
aff-before-headline	wrong-tree	$.children[0].children[0].affiliated unexpected
aff-before-keyword	wrong-tree	$.children[0].children[0].affiliated missing
aff-blank-breaks	wrong-tree	$.children[0].children[0].affiliated unexpected
aff-caption-inside-item	wrong-tree	$.children[0].children[0].children[0].children[0].affiliated unexpected
aff-caption-name	wrong-tree	$.children[0].children[0].affiliated missing
aff-caption-para	pass	
aff-caption-short	cannot-represent	dual CAPTION[short]
aff-caption-table	pass	
aff-dual-two	cannot-represent	dual CAPTION[short]
aff-empty-value	pass	
aff-header-para	cannot-represent	affiliated key HEADER
aff-lowercase	pass	
aff-name-para	pass	
aff-name-table	pass	
aff-plot-para	cannot-represent	affiliated key PLOT
aff-results-hash	cannot-represent	affiliated key RESULTS
aff-results-para	cannot-represent	affiliated key RESULTS
aff-two-attr	pass	
aff-two-captions	pass	
aff-two-headers	cannot-represent	affiliated key HEADER
besc-comment-comma-lines	pass	
besc-example-comma-lines	wrong-tree	$.children[0].children[0].value: "* escaped headline\n#+escaped keyword\n,* double comma\n * indented escape\n... vs "* escaped headline\n#+escaped keyword\n,* double comma\n * indented escape\n...
besc-example-in-item	wrong-tree	$.children[0].children[0].children[0].children[1].value: "  * indented block escape\n" vs "* indented block escape\n"
besc-export-comma-lines	wrong-tree	$.children[0].children[0].value: "* escaped\n#+kw\n" vs ",* escaped\n,#+kw\n"
besc-latex-env-comma-lines	pass	
besc-src-comma-lines	wrong-tree	$.children[0].children[0].value: "* escaped\n,#+double\nplain\n" vs ",* escaped\n,,#+double\nplain\n"
besc-verse-comma-lines	pass	
captdual-bold	cannot-represent	dual CAPTION[short]
caption-bare	wrong-tree	$.children[0].children[0].affiliated[0].value[0].long[0].value: "a" vs "a\\\\"
caption-bold	wrong-tree	$.children[0].children[0].affiliated[0].value[0].long[1].children[0].value: "b" vs "b\\\\"
cc-cite-minus	cannot-represent	node type citation; node type citation-reference
cc-cite-uni	cannot-represent	node type citation; node type citation-reference
cc-drawer-dollar	wrong-tree	$.children[0].children[0].name: "a$b" vs "A$B"
cc-drawer-euro	wrong-tree	$.children[0].children[0].children[0].children unexpected
cc-drawer-ord	wrong-tree	$.children[0].children[0].children[0].children unexpected
cc-drawer-yen	wrong-tree	$.children[0].children[0].name: "a¥b" vs "A¥B"
cc-dyn-dollar	cannot-represent	node type dynamic-block
cc-dyn-sup2	cannot-represent	node type dynamic-block
cc-dyn-uni	cannot-represent	node type dynamic-block
cc-ent-sup2	cannot-represent	node type entity
cc-ent-uni	wrong-tree	$.children[0].children[0].children[0].postBlank missing
cc-fn-dollar	wrong-tree	$.children[0].children[0].children[0].children missing
cc-fn-inline	wrong-tree	$.children[0].children[0].children[0].value: "x" vs "x[fn:café:body] y\n"
cc-sub-sup2	cannot-represent	bare (unbraced) sub/superscript
cc-sup-minus	pass	
cc-tag-mark	wrong-tree	$.children[0].tags: length 1 vs 0
cc-tag-modh	pass	
cc-tag-sup2	pass	
cell-bare	pass	
cell-bold	wrong-tree	$.children[0].children[0].children[0].children[0].children[0].children[0].value: "a" vs "a\\\\"
cell-cookie	wrong-tree	$.children[0].children[0].children[0].children[0].children[0].postBlank unexpected
cit-at-alone	pass	
cit-both-globals	cannot-represent	node type citation; node type citation-reference
cit-double-at	cannot-represent	node type citation; node type citation-reference
cit-global-prefix	cannot-represent	node type citation; node type citation-reference
cit-global-suffix	cannot-represent	node type citation; node type citation-reference
cit-in-item	cannot-represent	node type citation; node type citation-reference
cit-key-punct	cannot-represent	node type citation; node type citation-reference
cit-key-slash	cannot-represent	node type citation; node type citation-reference
