case	verdict	note
doomemacs-docs/appendix.org	pass	
doomemacs-docs/contributing.org	pass	
doomemacs-docs/examples.org	pass	
doomemacs-docs/faq.org	pass	
doomemacs-docs/getting_started.org	pass	
doomemacs-docs/index.org	pass	
go-org-testdata/blocks.org	pass	
go-org-testdata/captions.org	pass	
go-org-testdata/east_asian_line_breaks.org	pass	
go-org-testdata/footnotes.org	pass	
go-org-testdata/footnotes_in_headline.org	pass	
go-org-testdata/headlines.org	pass	
go-org-testdata/hl-lines.org	pass	
go-org-testdata/inline.org	pass	
go-org-testdata/keywords.org	pass	
go-org-testdata/latex.org	pass	
go-org-testdata/lists.org	pass	
go-org-testdata/misc.org	pass	
go-org-testdata/options.org	pass	
go-org-testdata/paragraphs.org	pass	
go-org-testdata/tables.org	pass	
org-mode-samples/blocks.org	pass	
org-mode-samples/headings.org	pass	
org-mode-samples/keywords.org	pass	
org-mode-samples/lists.org	pass	
org-mode-samples/pathological.org	pass	
org-mode-samples/tags.org	pass	
org-mode-samples/text.org	pass	
