case	verdict	note
affiliated-attr-hyphenated-backend	cannot-represent	affiliated keywords (no attachment in AST)
affiliated-caption-forms	cannot-represent	affiliated keywords (no attachment in AST)
affiliated-caption-short-empty	cannot-represent	affiliated keywords (no attachment in AST)
affiliated-caption-short-markup	cannot-represent	affiliated keywords (no attachment in AST)
affiliated-header-results-attr-plot	cannot-represent	affiliated keywords (no attachment in AST)
affiliated-interleaved-repeat	cannot-represent	affiliated keywords (no attachment in AST)
babel-call-forms	pass	
block-center-parsed	pass	
block-comment-literal	pass	
block-example-literal	pass	
block-example-switches	pass	
block-export-html	pass	
block-quote-parsed	pass	
block-src-literal	pass	
block-src-switches	cannot-represent	src-block switches (fused into arguments)
block-src-with-params	pass	
block-verse-parsed-objects	pass	
citation-forms	cannot-represent	node type citation; node type citation-reference
clock-forms	cannot-represent	timestamp rangeType
clock-normalization	cannot-represent	timestamp rangeType
diary-sexp-forms	cannot-represent	affiliated keywords (no attachment in AST); node type diary-sexp
drawer-fused-name	wrong-tree	$.children[0].children[0].children[0].children missing
drawer-simple	pass	
dynamic-block-simple	pass	
easy-comment-line	pass	
easy-commented-headline	cannot-represent	commented headline
easy-heading-levels	pass	
easy-horizontal-rule	pass	
easy-keyword-simple	pass	
easy-plain-paragraph-multiline	pass	
easy-priority-and-tags-headline	pass	
easy-table-simple	pass	
emphasis-bold-simple	pass	
emphasis-border-reject-midword	pass	
emphasis-border-reject-verbatim-adjacent	pass	
emphasis-code-simple	pass	
emphasis-italic-simple	pass	
emphasis-nested-bold-italic	pass	
emphasis-reject-space-borders	pass	
emphasis-strikethrough-simple	pass	
emphasis-underline-simple	pass	
emphasis-underline-strike-nested	pass	
emphasis-verbatim-inside-bold	pass	
emphasis-verbatim-simple	pass	
entity-forms	cannot-represent	node type entity
export-snippet-forms	pass	
fixed-width-simple	pass	
footnote-definition-preblank	cannot-represent	footnote-definition preBlank
footnote-definition-simple	pass	
footnote-reference-simple	pass	
headline-empty-title	wrong-tree	$.children[0].children[0].title: length 1 vs 0
headline-inlinetask-depth	pass	
headline-odd-levels	wrong-tree	$.children[1].children[0].children[0].level: 3 vs 5
inline-babel-call-forms	cannot-represent	node type subscript
inline-src-block-forms	cannot-represent	node type subscript
keyword-name-attaches-to-table	cannot-represent	affiliated keywords (no attachment in AST)
keyword-nonaffiliated-does-not-attach	pass	
keyword-title-document-level	pass	
latex-environment-forms	cannot-represent	node type latex-environment; node type latex-fragment
latex-fragment-command	cannot-represent	node type latex-fragment
latex-fragment-dollar-closer-class	cannot-represent	node type latex-fragment
latex-fragment-dollar-display	cannot-represent	node type latex-fragment
latex-fragment-dollar-rejects	pass	
latex-fragment-dollar-simple	cannot-represent	node type latex-fragment
latex-fragment-inline	cannot-represent	node type latex-fragment
line-break-in-verse	cannot-represent	node type line-break
line-break-simple	cannot-represent	node type line-break
link-angle	cannot-represent	link pathType
link-description-backslash	cannot-represent	link pathType; node type entity; node type latex-fragment
link-plain	cannot-represent	link pathType
link-radio	cannot-represent	link pathType
link-regular-no-description	cannot-represent	link pathType
link-regular-with-description	cannot-represent	link pathType
list-checkbox-forms	cannot-represent	item checkbox
list-checkbox-states	cannot-represent	item checkbox
list-counter-override	cannot-represent	item counter
list-descriptive-term-def	cannot-represent	descriptive list; item tag (descriptive list)
list-item-emphasis	pass	
list-item-empty	cannot-represent	item checkbox
list-item-greater-block	pass	
list-item-preblank	wrong-tree	$.children[0].children[0].children[0].bullet missing
list-nested-by-indent	pass	
list-ordered-simple	pass	
list-unordered-simple	pass	
macro-forms	pass	
object-angle-plain-text	pass	
object-bracket-plain-text	pass	
planning-closed	pass	
planning-scheduled-and-deadline	pass-structure	postBlank/preBlank bookkeeping only
planning-scheduled-hugs-headline	pass	
property-drawer-after-planning	pass	
property-drawer-document-start	wrong-tree	$.children[0].children[0].children[0].children unexpected
property-drawer-positional-fallback	pass	
property-drawer-simple	pass	
skeleton-bare-paragraph	pass	
skeleton-headline-with-section	pass	
skeleton-nested-headline	pass	
special-block-simple	pass	
statistics-cookie-fraction	pass	
statistics-cookie-percent	pass	
subscript-simple	cannot-represent	node type subscript
superscript-simple	cannot-represent	node type superscript
table-el-flavour	pass	
table-rule-widths	pass	
table-tblfm-multiple	wrong-tree	$.children[0].children[0].tblfm: ["$2=1", "$3=$1+$2"] vs null
target-simple	pass	
timestamp-active-range	cannot-represent	timestamp rangeType
timestamp-active-simple	pass	
timestamp-diary-sexp	pass	
timestamp-inactive-range	cannot-represent	timestamp rangeType
timestamp-inactive-simple	pass	
timestamp-no-dayname	cannot-represent	timestamp rangeType
timestamp-timerange-contraction	cannot-represent	timestamp rangeType
timestamp-with-delay	wrong-tree	$.children[0].children[0].children[0].delay missing
timestamp-with-repeater	wrong-tree	$.children[0].children[0].children[0].delay missing
timestamp-with-time	pass	
todo-default-recognized	pass	
todo-default-unrecognized	pass	
todo-hidden-by-unterminated-example	cannot-represent	node type subscript
todo-runtime-custom	wrong-tree	$.children[1].title[0].value: "Do thing" vs "NEXT Do thing"
underline-vs-subscript	cannot-represent	node type subscript
