case	verdict	note
affiliated-attr-hyphenated-backend	pass	
affiliated-caption-forms	pass	
affiliated-caption-short-empty	pass	
affiliated-caption-short-markup	pass	
affiliated-header-results-attr-plot	pass	
affiliated-interleaved-repeat	pass	
babel-call-forms	pass	
block-center-parsed	pass	
block-comment-literal	pass	
block-example-literal	pass	
block-example-switches	pass	
block-export-html	pass	
block-quote-parsed	pass	
block-src-literal	pass	
block-src-switches	pass	
block-src-with-params	pass	
block-verse-parsed-objects	pass	
citation-forms	pass	
clock-forms	pass	
clock-normalization	pass	
diary-sexp-forms	pass	
drawer-fused-name	pass	
drawer-simple	pass	
dynamic-block-simple	pass	
easy-comment-line	pass	
easy-commented-headline	pass	
easy-heading-levels	pass	
easy-horizontal-rule	pass	
easy-keyword-simple	pass	
easy-plain-paragraph-multiline	pass	
easy-priority-and-tags-headline	pass	
easy-table-simple	pass	
emphasis-bold-simple	pass	
emphasis-border-reject-midword	pass	
emphasis-border-reject-verbatim-adjacent	pass	
emphasis-code-simple	pass	
emphasis-italic-simple	pass	
emphasis-nested-bold-italic	pass	
emphasis-reject-space-borders	pass	
emphasis-strikethrough-simple	pass	
emphasis-underline-simple	pass	
emphasis-underline-strike-nested	pass	
emphasis-verbatim-inside-bold	pass	
emphasis-verbatim-simple	pass	
entity-forms	pass	
export-snippet-forms	pass	
fixed-width-simple	pass	
footnote-definition-preblank	pass	
footnote-definition-simple	pass	
footnote-reference-simple	pass	
headline-empty-title	pass	
headline-inlinetask-depth	pass	
headline-odd-levels	pass	
inline-babel-call-forms	pass	
inline-src-block-forms	pass	
keyword-name-attaches-to-table	pass	
keyword-nonaffiliated-does-not-attach	pass	
keyword-title-document-level	pass	
latex-environment-forms	pass	
latex-fragment-command	pass	
latex-fragment-dollar-closer-class	pass	
latex-fragment-dollar-display	pass	
latex-fragment-dollar-rejects	pass	
latex-fragment-dollar-simple	pass	
latex-fragment-inline	pass	
line-break-in-verse	pass	
line-break-simple	pass	
link-angle	pass	
link-description-backslash	pass	
link-plain	pass	
link-radio	pass	
link-regular-no-description	pass	
link-regular-with-description	pass	
list-checkbox-forms	pass	
list-checkbox-states	pass	
list-counter-override	pass	
list-descriptive-term-def	pass	
list-item-emphasis	pass	
list-item-empty	pass	
list-item-greater-block	pass	
list-item-preblank	pass	
list-nested-by-indent	pass	
list-ordered-simple	pass	
list-unordered-simple	pass	
macro-forms	pass	
object-angle-plain-text	pass	
object-bracket-plain-text	pass	
planning-closed	pass	
planning-scheduled-and-deadline	pass	
planning-scheduled-hugs-headline	pass	
property-drawer-after-planning	pass	
property-drawer-document-start	pass	
property-drawer-positional-fallback	pass	
property-drawer-simple	pass	
skeleton-bare-paragraph	pass	
skeleton-headline-with-section	pass	
skeleton-nested-headline	pass	
special-block-simple	pass	
statistics-cookie-fraction	pass	
statistics-cookie-percent	pass	
subscript-simple	pass	
superscript-simple	pass	
table-el-flavour	pass	
table-rule-widths	pass	
table-tblfm-multiple	pass	
target-simple	pass	
timestamp-active-range	pass	
timestamp-active-simple	pass	
timestamp-diary-sexp	pass	
timestamp-inactive-range	pass	
timestamp-inactive-simple	pass	
timestamp-no-dayname	pass	
timestamp-timerange-contraction	pass	
timestamp-with-delay	pass	
timestamp-with-repeater	pass	
timestamp-with-time	pass	
todo-default-recognized	pass	
todo-default-unrecognized	pass	
todo-hidden-by-unterminated-example	pass	
todo-runtime-custom	pass	
underline-vs-subscript	pass	
