case	verdict	note
aff-at-eof	pass	
aff-attr-empty	pass	
aff-attr-no-backend	pass	
aff-attr-odd-backend	pass	
aff-attr-para	pass	
aff-before-comment	wrong-tree	$.children[0].children[0].affiliated unexpected
aff-before-fixed	pass	
aff-before-headline	wrong-tree	$.children[0].children[0].affiliated unexpected
aff-before-keyword	pass	
aff-blank-breaks	pass	
aff-caption-inside-item	pass	
aff-caption-name	pass	
aff-caption-para	pass	
aff-caption-short	wrong-tree	$.children[0].children[0].affiliated[0].value[0].short[0].value: "s " vs "s *t*"
aff-caption-table	cannot-represent	affiliated keywords on a table
aff-dual-two	pass	
aff-empty-value	pass	
aff-header-para	pass	
aff-lowercase	pass	
aff-name-para	pass	
aff-name-table	cannot-represent	affiliated keywords on a table
aff-plot-para	pass	
aff-results-hash	pass	
aff-results-para	pass	
aff-two-attr	pass	
aff-two-captions	pass	
aff-two-headers	pass	
besc-comment-comma-lines	pass	
besc-example-comma-lines	wrong-tree	$.children[0].children[0].value: "* escaped headline\n#+escaped keyword\n,* double comma\n * indented escape\n... vs ",* escaped headline\n,#+escaped keyword\n,,* double comma\n ,* indented esca...
besc-example-in-item	wrong-tree	$.children[0].children[0].children[0].children[1].value: "  * indented block escape\n" vs "  ,* indented block escape\n"
besc-export-comma-lines	pass	
besc-latex-env-comma-lines	wrong-tree	$.children[0].children[0].value: "\\begin{equation}\n,* escaped?\n\\end{equation}\n" vs "\\begin{equation}\n,* escaped?\n\\end{equation}"
besc-src-comma-lines	pass	
besc-verse-comma-lines	pass	
captdual-bold	cannot-represent	affiliated keywords on a table
caption-bare	cannot-represent	affiliated keywords on a table
caption-bold	cannot-represent	affiliated keywords on a table
cc-cite-minus	pass	
cc-cite-uni	wrong-tree	$.children[0].children[0].children[0].children[0].key: "ké" vs "k"
cc-drawer-dollar	wrong-tree	$.children[0].children[0].children[0].children missing
cc-drawer-euro	wrong-tree	$.children[0].children[0].children[0].value: ":a€b:\nx\n:END:\n" vs ":a€b:\nx\n"
cc-drawer-ord	wrong-tree	$.children[0].children[0].children[0].value: ":aªb:\nx\n:END:\n" vs ":aªb:\nx\n"
cc-drawer-yen	wrong-tree	$.children[0].children[0].children[0].children missing
cc-dyn-dollar	cannot-represent	node type dynamic-block
cc-dyn-sup2	cannot-represent	node type dynamic-block
cc-dyn-uni	cannot-represent	node type dynamic-block
cc-ent-sup2	pass	
cc-ent-uni	pass	
cc-fn-dollar	wrong-tree	$.children[0].children[0].children[0].children missing
cc-fn-inline	wrong-tree	$.children[0].children[0].children[0].value: "x" vs "x[fn:café:body] y\n"
cc-sub-sup2	pass	
cc-sup-minus	pass	
cc-tag-mark	wrong-tree	$.children[0].tags: length 1 vs 0
cc-tag-modh	pass	
cc-tag-sup2	wrong-tree	$.children[0].tags: length 0 vs 1
cell-bare	pass	
cell-bold	pass	
cell-cookie	pass	
cit-at-alone	pass	
cit-both-globals	pass	
cit-double-at	pass	
cit-global-prefix	pass	
cit-global-suffix	pass	
cit-in-item	pass	
cit-key-punct	pass	
cit-key-slash	pass	
cit-min	pass	
cit-multi-mixed	pass	
cit-multi	pass	
cit-no-key	wrong-tree	$.children[0].children[0].children[0].value: "[cite:nokey]\n" vs "["
cit-prefix-bold	pass-structure	postBlank/preBlank bookkeeping only
cit-ref-both	pass	
cit-ref-prefix	pass	
cit-ref-suffix	pass	
cit-semi-only	pass	
cit-space-before-colon	pass	
cit-style-empty	pass	
cit-style-punct	pass	
cit-style-variant	pass	
cit-style	pass	
cit-suffix-code	pass	
cit-trailing-semi	pass	
cit-uni-key	wrong-tree	$.children[0].children[0].children[0].children[0].key: "café" vs "caf"
cmt-hash-space	pass	
cmt-hash-tab-after-text	pass	
cmt-hash-tab-alone	pass	
cmt-hash-tab-tab	pass	
cmt-hash-tab	pass	
conf-affiliated-caption-forms	cannot-represent	affiliated keywords on a table
